,author,developer_reply,review,review_date,reviewer_ratings,star
0,최복규,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 3월 8일</span></div>최복규님, 안녕하세요. 웰컴저축은행입니다. 사용 중 불편을 드려 죄송합니다. 현재도 웰뱅톱랭킹에 접속이 안 되시는지요? 앱 업데이트 이후에도 동일한 현상이 발생하신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 웰뱅톱랭킹에 접근이 안됩니다. 업데이트전에는 빠르고 편리하였는데 업데이트후 도대체 접근할 수 없습니다. 재미 하나가 사라졌습니다.,2021년 3월 5일,1,별표 5개 만점에 1개를 받았습니다.
1,Daniel Choi,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 12월 7일</span></div>Daniel Choi님, 안녕하세요. 웰컴저축은행입니다. 먼저 이용에 불편을 드려 죄송합니다. 리뷰 상으로는 고객님의 개인 정보 확인이 어려워 직접적인 도움을 드리지 못하는 점 양해 부탁드립니다. 금일 기준으로 앱을 다시 설치하신 뒤 다시 한 번 확인 부탁드립니다. 그럼에도 불구하고 동일한 현상이 일어나신다면 다른 원인 파악을 위해 고객님의 도움이 필요합니다. 번거로우시더라도 웰컴저축은행 대표번호 1661-9400 (평일 09:00~18:00)나 인터넷뱅킹 &gt; 고객센터 &gt; 고객상담 &gt; 온라인 문의 온라인 상담 통해 연락 부탁드립니다. 감사합니다.</div>", 아니 android12 정식버젼 나온지가 언젠데 아직도 베타타령하면서 기기버그를 못고쳐요. Touch en vaccine인가 이게 문제되는것같구만 개발자들 돈안주나요? 대응을 다른 저축은행보다못하네 삭제하고 앱다시깔면 최초 접속시 정상진입됩니다 종료후 재접속부터 안됩니다. 아니 줘도 못알아먹으면 도대체 업무보라는거에요 말라는거에요? 개발자들 어디묶어두고 hello world만 치게하나요? SI들 없어요?,2021년 12월 6일,16,별표 5개 만점에 1개를 받았습니다.
2,우단트,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 12월 20일</span></div>우단트님, 안녕하세요. 웰컴저축은행입니다. 우선 이용에 불편을 드려 죄송합니다.
해당 현상은 현재 안드로이드 OS 12 버전이 먼저 적용한 단말에서 공통적으로 나타나는 현상으로 파악되었습니다. 구글 픽셀폰 등은 아직 조치 중에 있으나, 갤럭시 단말기의 경우 최신 보안 패치 등을 업데이트 할 경우 구동될 수 있어 '설정&gt;휴대전화 정보&gt;소프트웨어 정보'의 각 버젼들을 최신 버젼으로 업데이트 후 재확인 부탁드립니다. 만약 그럼에도 불구하고 동일한 현상이 일어나신다면, 급하신 업무는 인터넷 뱅킹을 통해 진행 부탁드립니다. 최대한 조속히 해결할 수 있도록 하겠습니다.
이용에 불편을 드려 대단히 죄송합니다.</div>", 오류 대체 언제 고쳐지나요? 계좌에 돈을 넣었는데 뺄수가 없네요. 일부러 이러는건지 참.. 빨리 수정좀 해주세요 ;;,2021년 12월 17일,4,별표 5개 만점에 1개를 받았습니다.
3,선민구,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 26일</span></div>선민구님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다.
일시적으로 네트워크가 끊겨 생긴 현상으로 보이며, 앱을 완전히 종료 후 재시도 하셨을 경우에도 동일한 현상이 반복되신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 첫개설우대4.2퍼 적금 때문에 계좌개설하려고 하는데 자동이체 체크하고 ""전자계약서 미리보기에 실패하였습니다""라고 뜨고 계속 다음으로 안넘어가요..",2021년 11월 26일,26,별표 5개 만점에 1개를 받았습니다.
4,hdy kim,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 29일</span></div>hdy kim님, 안녕하세요. 웰컴저축은행입니다. 먼저 이용에 불편을 드려 죄송합니다. 혹시 현재도 동일한 현상이 발생하시는지요? 앱을 완전히 종료 후 안정적인 LTE 및 WiFi환경에서 시도하셨을 때에도 동일한 현상이 일어나신다면, 번거로우시더라도 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락주시면 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 아예 클릭도 안되다가, 이제 클릭은 되는데 거래내역 보려고 누르면 흰색화면만뜨고 멈춰버리네요 은행어플처럼 중요한어플을 이렇게 검증도 제대로 안하고 변경할수 있나요?",2021년 11월 27일,15,별표 5개 만점에 1개를 받았습니다.
5,최콩섭,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 30일</span></div>최콩섭님, 안녕하세요. 웰컴저축은행입니다. 우선 이용에 불편을 드려 죄송합니다.
해당 현상은 현재 안드로이드 OS 12 베타 버전을 먼저 적용한 단말에서 공통적으로 나타나는 현상으로 파악되었습니다. 내부적으로 대응 중에 있으나 조치되기까지 시간이 다소 걸릴 수 있어, 급하신 업무는 인터넷 뱅킹을 통해 진행 부탁드립니다. 최대한 조속히 해결할 수 있도록 하겠습니다.
이용에 불편을 드려 대단히 죄송합니다.</div>"," 앱 실행이 안됩니다. 실행하면 ""기기 등록 중 오류가 발생하였습니다. 앱을 다시 실행해 주시기 바랍니다."" 라고 뜹니다",2021년 11월 30일,18,별표 5개 만점에 1개를 받았습니다.
6,Sewook Oh,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 30일</span></div>Sewook Oh님, 안녕하세요. 웰컴저축은행입니다. 우선 이용에 불편을 드려 죄송합니다. 해당 현상은 현재 안드로이드 OS 12 베타 버전을 먼저 적용한 단말에서 공통적으로 나타나는 현상으로 파악되었습니다. 내부적으로 대응 중에 있으나 조치되기까지 시간이 다소 걸릴 수 있어, 급하신 업무는 인터넷 뱅킹을 통해 진행 부탁드립니다. 최대한 조속히 해결할 수 있도록 하겠습니다.
이용에 불편을 드려 대단히 죄송합니다.</div>", 안드로이드12 업데이트 이후 앱 스플래시 이미지만 나오다 바로 꺼져버림 문제 발생한지 몇주는 된 것 같은데 아직도 수정이 안되고있다니 허허,2021년 11월 30일,2,별표 5개 만점에 1개를 받았습니다.
7,박레테,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 30일</span></div>박레테님, 안녕하세요. 웰컴저축은행입니다. 먼저 이용에 불편을 드려 죄송합니다. 현재도 동일한 현상이 일어나시는지요? 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 답변받으신 시점을 기준으로 앱을 완전히 종료 후 재시도 하셨을 경우에도 동일한 현상이 반복되신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 기기등록중 에러 발행 무한반복됩니다. 은행 어플이 이래도 되는건가... 신뢰가 없네...,2021년 11월 29일,3,별표 5개 만점에 1개를 받았습니다.
8,조재범,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 8일</span></div>조재범님, 안녕하세요. 웰컴저축은행입니다. 우선 이용에 불편을 드려 죄송합니다.
해당 현상은 현재 안드로이드 OS 12 베타 버전을 먼저 적용한 단말에서 공통적으로 나타나는 현상으로 파악되었습니다. 내부적으로 대응 중에 있으나 조치되기까지 시간이 다소 걸릴 수 있어, 급하신 업무는 인터넷 뱅킹을 통해 진행 부탁드립니다. 최대한 조속히 해결할 수 있도록 하겠습니다.
이용에 불편을 드려 대단히 죄송합니다.</div>", 앱실행하면 기기등록중 오류가발생했다고 앱다시 실행해달라고해서 다시 시도해봐도 들어가지지도않네요 2일지났어요 지웠다 깔아도 그대로네요 고쳐주세요,2021년 11월 6일,10,별표 5개 만점에 1개를 받았습니다.
9,몬아지스,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 29일</span></div>몬아지스님, 안녕하세요. 웰컴저축은행입니다. 먼저 이용에 불편을 드려 죄송합니다. 혹시 현재도 동일한 현상이 발생하시는지요? 앱을 완전히 종료 후 안정적인 LTE 및 WiFi환경에서 시도하셨을 때에도 동일한 현상이 일어나신다면, 번거로우시더라도 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락주시면 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 로그인이 안돼네요...그리고 어플 너무 느려요 제가 이때까지 써본 은행어플중에 제일 느림,2021년 11월 27일,3,별표 5개 만점에 1개를 받았습니다.
10,조승현,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 15일</span></div>조승현님, 안녕하세요. 웰컴저축은행입니다. 우선 이용에 불편을 드려 죄송합니다. 리뷰 상으로는 고객님의 개인 정보 확인이 어려워 직접적인 도움을 드리기 어렵습니다. 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)나 인터넷뱅킹 &gt; 고객센터 &gt; 고객상담 &gt; 온라인 문의 온라인 상담 통해 연락 부탁드립니다. 감사합니다.</div>", 화면은 보이는데 어떤 항목도 터치하면 실행이 안되고 로그인도 안되네요. 업데이트 해도 안되는데 방법을 알려주세요.,2021년 11월 12일,5,별표 5개 만점에 1개를 받았습니다.
11,황희복,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 11월 30일</span></div>황희복님, 안녕하세요. 웰컴저축은행입니다. 먼저 이용에 불편을 드려 죄송합니다. 현재도 동일한 현상이 일어나시는지요? 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 답변받으신 시점을 기준으로 앱을 완전히 종료 후 재시도 하셨을 경우에도 동일한 현상이 반복되신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 로그인이 또 안되네요.. 한시간째 시도중인데 은행어플이 이정도면 심각한데요,2021년 11월 29일,1,별표 5개 만점에 1개를 받았습니다.
