,author,developer_reply,review,review_date,reviewer_ratings,star
0,신유진,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 7월 7일</span></div>신유진님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내역 기억하시어 다시 응원의 메시지 남겨주셔서 감사합니다. 웰컴저축은행은 고객님의 불편함에 귀기울여 듣고 개선하기 위해 최선을 다하고 있습니다. 앞으로도 더 나은 서비스를 만들어 가는 웰컴저축은행이 되겠습니다. 감사합니다!</div>"," 어플이 심플하면서 예뻐지고, 사용하기 재밌도록 캐릭터설정 등 다양한 기능이 추가된건 너무 좋아요! ㅋ 웰컴어플 매일 켜고 싶을정도니까요 :) 그런데..상용적으로 쓰는 메뉴들..예를들면 내계좌전체보기, 로그아웃 등은 어떤 메뉴를 쓰는중이건간에 실행할수있도록 좀 밖으로 꺼내놓아주셨으면합니다. 로그아웃하러 메뉴-관리-앱설정 등등 찾아가야하는건 좀 번거로워요ㅜㅠ 특히 로그아웃을 잘하는건 은행어플상 매우 중요한데말이죠...! 개선 부탁드립니다~ ---------------------------------------- 올해 3월에 어플개선사항...전체 리뷰어플이 심플하면서 예뻐지고, 사용하기 재밌도록 캐릭터설정 등 다양한 기능이 추가된건 너무 좋아요! ㅋ 웰컴어플 매일 켜고 싶을정도니까요 :) 그런데..상용적으로 쓰는 메뉴들..예를들면 내계좌전체보기, 로그아웃 등은 어떤 메뉴를 쓰는중이건간에 실행할수있도록 좀 밖으로 꺼내놓아주셨으면합니다. 로그아웃하러 메뉴-관리-앱설정 등등 찾아가야하는건 좀 번거로워요ㅜㅠ 특히 로그아웃을 잘하는건 은행어플상 매우 중요한데말이죠...! 개선 부탁드립니다~ ---------------------------------------- 올해 3월에 어플개선사항을 게시했는데, 거의 2~3달이내 반영하여 앱이 바로 개선되었네요!!! 메뉴버튼 제 이름옆에 로그아웃버튼이 위치해있어 정말 편리해졌습니다 :) 어플쓸때마다 예뻐서 기분좋고, 편리해서 꼭 후기남기고싶었어요~ 빠른반영 감사합니다!!! ㅎ 아주 매우만족이예요♡",2021년 7월 6일,27,별표 5개 만점에 5개를 받았습니다.
1,N steve,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>N steve님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 계좌개설 진행이 안 된다 개인정보 다 받아먹고 신분증까지 촬영했는데 개설이 안 되고 또 처음부터 다시 반복....완전 무한반복이여 이거 장난하나? 왜 개인정보만 먹고 개설이 안 되나 촬영해 넘어간 사진과 개인정보 다 지워라 ....금융위 신고하고 정통부 신고하기 전에,2021년 6월 20일,35,별표 5개 만점에 1개를 받았습니다.
2,김해늘,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>김해늘님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 계좌개설하려는데 신분증인증에서 계속 튕깁니다. 진짜 10번이상 시도했어요. 그리고 왜 다시 주민등록번호입력 및 휴대폰인증부터 해야하는건가요!! 이렇게 많이 오류나는 은행앱 처음입니다. 앱 삭제 후 처음부터 다시해도 똑같습니다. 빠른 개선바랍니다.,2021년 6월 17일,25,별표 5개 만점에 1개를 받았습니다.
3,유다현,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>유다현님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>"," 계좌개설 시 신분증 촬영 후 진행이 안되네요. 다른분들도 안되신다고 리뷰 올리셨던데 답변에는 어느부분인지 모르겠다고만 하고 해결이 안된거 같네요. 계좌개설에서 약과동의, 휴대폰 인증 후 신분증 촬영 부분에서 신분증 촬영하고 나면 다시 처음으로 돌아갑니다. 문제해결 부탁드립니다",2021년 6월 18일,14,별표 5개 만점에 1개를 받았습니다.
4,pokt0509,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 7월 12일</span></div>pokt0509님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 앞으로도 고객님께 안전한 뱅킹 서비스와 더 많은 혜택을 드리도록 최선을 다하는 웰컴저축은행이 되겠습니다. 감사합니다.</div>", 핸드폰을 바꿔서 새로 이용등록을 하는데 다른 은행앱들과는 다르게 귀찮은 신분증 촬영이나 계좌번호 쓰는 과정 없이 핸드폰 본인인증과 계좌 비밀번호만 입력하면 되어서 아주 편하고 좋네요. 어플 디자인도 은행앱들 중에서 귀엽고 예쁜편이에요.,2021년 7월 10일,0,별표 5개 만점에 5개를 받았습니다.
5,Minsu Kim,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>Minsu Kim님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>"," 살면서 처음 리뷰단다. 웰컴저축은행 첫 계좌개설해서 적금가입하려고 했는데, 진짜 똥이다.ㅡㅡ 신분증을 왜 인식을 못하고, 인식을 못하면 다시 시도라도 되던가 처음부터 다시해야되고, 은행앱이 이따위인데 멀 믿고 돈을 맡기냐 .. 바로 삭제하고 계좌개설 안할란다. 시중은행꺼나 써야지",2021년 6월 18일,3,별표 5개 만점에 1개를 받았습니다.
6,이지현,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 7월 2일</span></div>이지현님, 안녕하세요. 웰컴디지털뱅크입니다. 먼저 이용에 불편을 드려 죄송합니다. 신분증의 경우 빛이 반사되거나 어두운 배경이 아닌 경우에 숫자 인식이 정상적으로 되지 않을 수 있습니다. 너무 밝지 않은 장소, 어두운 배경에서 신분증을 놓고 촬영 부탁드립니다. 위와 같이 진행하여도 동일한 증상이 계속된다면, 정확한 상황 확인을 위하여 번거로우시더라도 대표 상담 번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 22일 업데이트 버전으로 설치했는데 신분증 인식 계속 실패해서 계좌 개설 할 수가 없습니다 정상적으로 신분증 내용 입력되는데도 다음 터치하면 이동하지 않네요 직전 단계까지 정말 편한ui라 생각하고 있었는데 이렇게 심각한 에러라니ㅠ 수십분 시도하다가 그냥 포기합니다,2021년 6월 26일,5,별표 5개 만점에 1개를 받았습니다.
7,김가나,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 7월 5일</span></div>김가나님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 말씀주신 앱 사용 중 불편함에 관한 의견 서비스에 반영할 수 있도록 내부에 의견 전달하도록 하겠습니다. 안전한 뱅킹 서비스와 혜택을 드릴 수 있도록 최선을 다하는 웰컴저축은행이 되겠습니다. 앱 사용 중 불편한 점이나 문의사항이 있으실 경우 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락 부탁드립니다. 감사합니다.</div>", 앱을 개편한다더니 망쳐놓음 옛날 UI가 훨씬 깔끔하고 편리하다. 앱 개편한다더니 완전히 망쳐놓음. 우선 탭 버튼 위치를 지문 인식하는데 잘못하면 눌리게 만들어 놨다. 내 계좌조회나 이체를 하려는데 툭하면 금융상품 탭으로 넘어가서 로그인이 안됨. 개 짜증. 이체도 예전엔 패턴 입력하고 클릭 한두번이면 됐는데 무언가 과정이 복잡해지고 귀찮아짐. 그리고 전체적으로 앱이 무거워진 탓인지 엄청 버벅댐. 도대체 멀쩡했던 앱 왜 바꾼건지 모르겠음. 앱이 편해서 웰뱅을 주거래로 썼던건데 이젠 다시 딴 데로 갈아탈거임.,2021년 7월 2일,4,별표 5개 만점에 2개를 받았습니다.
8,조길순,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 17일</span></div>조길순님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 우선 이용에 불편함을 드려 죄송합니다.
기기의 뒤로가기 버튼이 아닌, 앱을 완전히 종료 후 재시도 부탁드립니다. 그럼에도 불구하고 동일한 현상이 반복되신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 보통예금 계좌개설하는데 신분증 촬영단계에서 계속 이어서 진행하기로 넘어가고 다음단계 진행이 안됩니다. 10회 반복했습니다. 조치부탁드립니다.,2021년 6월 16일,1,별표 5개 만점에 1개를 받았습니다.
9,손승우,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 17일</span></div>손승우님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 앱 재접속 후에도 동일한 증상이 계속된다면, 번거로우시더라도 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 최근에 수시로 ""시스템오류가 발생했습니다. 다시 진행해 해주시기 바랍니다."" 뜨네요 계좌조회조차도 불가능합니다... 속도도 느리고요",2021년 6월 16일,2,별표 5개 만점에 1개를 받았습니다.
