,author,developer_reply,review,review_date,reviewer_ratings,star
118,Jenny,, 잘쓰고있습니다 추천합니다,2021년 2월 21일,0,별표 5개 만점에 4개를 받았습니다.
119,비우개,," 저축은행에서 최초로, 할수있는 것들을, 사용자 입장에서, 잘만든 금융앱입니다",2020년 10월 15일,11,별표 5개 만점에 5개를 받았습니다.
120,박희연,, 정리가잘되있고신용도도 알수있고ㆍ유용하게 잘쓰고 있어요,2020년 10월 20일,2,별표 5개 만점에 5개를 받았습니다.
121,ᆞᆞ지수,, 앱 관리가 잘되고 깔끔한것 같아요,2021년 1월 31일,0,별표 5개 만점에 5개를 받았습니다.
122,박제은,, 간편하고 좋아요.,2021년 1월 13일,0,별표 5개 만점에 5개를 받았습니다.
123,Google 사용자,, 앱 잘되어있어요. 입출금시 알람도 바로바로뜨고 어플자체가 가독성이 좋네요ㅎㅎ,2020년 10월 22일,9,별표 5개 만점에 5개를 받았습니다.
124,남도현,, 고민하다 결정했는데 사용도 편하고 맘에들어요,2021년 2월 5일,0,별표 5개 만점에 5개를 받았습니다.
125,문병준,, 너무 잘사용하고 있습니다 이체도 무료 입출금통장도 한달마다 이자도 주고,2020년 11월 4일,6,별표 5개 만점에 5개를 받았습니다.
126,얼룩말황,, 빠르고 좋아요,2020년 12월 23일,0,별표 5개 만점에 5개를 받았습니다.
127,임대윤,, 사용한지 3개월 되어가는데 아직 오류 없었네요,2020년 10월 19일,5,별표 5개 만점에 5개를 받았습니다.
128,myong-do Chang,, 편리하고 직관성이 뛰어납니다,2020년 12월 1일,0,별표 5개 만점에 5개를 받았습니다.
129,Cang.Hwan Jun,, 간단하고 좋은 상품도 많네요.,2020년 10월 16일,2,별표 5개 만점에 5개를 받았습니다.
130,KyuSeong Lee,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2020년 10월 8일</span></div>안녕하세요 고객님, 웰뱅입니다. 먼저 앱을 이용에 불편을 드린 점 정말 죄송합니다. 특별한 이슈는 확인되지않아 고객님의 정보와 단말정보 등이 필요합니다. 당행 대표번호 1661-9400으로 연락주시면 친절한고 정확한 상담 도와드리겠습니다. 앞으로도 고객님께 안전한 뱅킹서비스와 더 많은 혜택을 드리도록 최선을 다하겠습니다. 감사합니다</div>", 친구추천 이벤트는 왜 들어가면 먹통이 되는건가요..,2020년 10월 7일,13,별표 5개 만점에 1개를 받았습니다.
131,냐하,, 잘이용중입니다 계좌관리를 보기편하게 좀만 수정봤음 좋겠음,2020년 10월 27일,3,별표 5개 만점에 5개를 받았습니다.
132,김봉석,, 오류없이 잘 실행되고 있어요,2020년 11월 18일,2,별표 5개 만점에 5개를 받았습니다.
133,이상국,, 편리하고 유용한 내용들이 많습니다.,2020년 11월 20일,0,별표 5개 만점에 5개를 받았습니다.
134,최경자,, 앱 사용편리하고 처리빨라 좋았습니다.,2020년 12월 7일,0,별표 5개 만점에 4개를 받았습니다.
135,IRON CROSS,, 파킹 통장으로 좋아요.,2021년 2월 22일,0,별표 5개 만점에 4개를 받았습니다.
136,힘을내요슈퍼파월,, 편하고 좋아요!,2020년 12월 19일,0,별표 5개 만점에 4개를 받았습니다.
137,박한곤,, 사용하는데 정상이고 버벅임없고 괜차네요,2020년 10월 20일,1,별표 5개 만점에 5개를 받았습니다.
138,9불루,, 좋아요! 쓰기편해서..,2021년 2월 21일,0,별표 5개 만점에 5개를 받았습니다.
139,안미나,, 이자율도좋고 괜찮네요,2021년 1월 16일,0,별표 5개 만점에 4개를 받았습니다.
140,jisun kim,, 어플로 모두 할수 있어 편하고 좋아요,2020년 11월 28일,1,별표 5개 만점에 5개를 받았습니다.
141,Byeong Keun Na,, 사용이 간편하고 입출금 이율이 타은행보다 높다,2020년 10월 17일,4,별표 5개 만점에 4개를 받았습니다.
142,shinji Chang,, 사용이편하고 눈에잘들어와요,2020년 10월 16일,4,별표 5개 만점에 5개를 받았습니다.
143,김혜영,, 편리하고 이해하기쉬운 사용법,2020년 11월 25일,1,별표 5개 만점에 5개를 받았습니다.
144,백마,, 친구추천이 안되요 ㅠ,2021년 1월 28일,0,별표 5개 만점에 5개를 받았습니다.
145,김정임,, 편리하고 상품도 좋습니다,2020년 10월 23일,1,별표 5개 만점에 5개를 받았습니다.
146,믿고듣는힙합의전설,, 카뱅만큼 편리하진 않지만 오류도 없고 괜찮아요,2020년 11월 15일,3,별표 5개 만점에 4개를 받았습니다.
147,win dy,, 생각보다 큰오류없이 잘됨,2020년 12월 4일,0,별표 5개 만점에 4개를 받았습니다.
148,곰돌이Youtube,, 편리하고 센스있는 은행이예요.,2020년 11월 23일,0,별표 5개 만점에 5개를 받았습니다.
149,Yeoungju Kim,, 다 편리한데요.. 신분증 촬영할 때 조금 버벅거려요,2020년 10월 15일,4,별표 5개 만점에 4개를 받았습니다.
150,Wanjin Kim,, 깔끔하니 잘되어 있어요,2021년 1월 6일,0,별표 5개 만점에 4개를 받았습니다.
151,행복행복부자,, 사용하기 너무 편해요^^,2020년 12월 22일,1,별표 5개 만점에 5개를 받았습니다.
152,이시욱,, 아주 좋아요 예금이자 굿 예금상품 다양~,2020년 11월 24일,0,별표 5개 만점에 4개를 받았습니다.
153,신경숙,, 쉽고 빠르게 가입 잘했습니다.,2020년 10월 12일,2,별표 5개 만점에 4개를 받았습니다.
154,이현주,, 금리 좋은 상품 많아서 좋아요,2020년 10월 28일,2,별표 5개 만점에 4개를 받았습니다.
155,변재원,, 편해요 나름 직관적이고 간편하네요,2020년 10월 16일,5,별표 5개 만점에 5개를 받았습니다.
156,이동호,, 버벅거림 없이 잘 돌아갑니다.,2020년 10월 12일,4,별표 5개 만점에 4개를 받았습니다.
157,coww dry,, Good 첫거래 6.0 못받아서 너무 아쉬워요 ㅠㅠ,2020년 10월 13일,2,별표 5개 만점에 5개를 받았습니다.
158,rayoung kim,, 간편하고좋아요,2021년 1월 12일,0,별표 5개 만점에 5개를 받았습니다.
159,yoojung,, 편하고 상품가입 쉬워요,2020년 10월 23일,2,별표 5개 만점에 5개를 받았습니다.
160,쁘띠봄봄,, 어플도 직관적이고 버벅거리거나 그런것도 적은편 그러나 그건 순전히 타 은행대비 이고 아직 안정적이라고 말하기는 어려운 어플 그래도 다른은행보다는 비교하기 미안할정도로 카뱅급으로 편리함 타은행과 의 연동은 어쩔수없는 저축은행이라는 태생의 한계ㅠ,2021년 2월 17일,0,별표 5개 만점에 4개를 받았습니다.
161,언제나토닥토닥,, 편하고 좋아요,2020년 12월 16일,0,별표 5개 만점에 4개를 받았습니다.
