,author,developer_reply,review,review_date,reviewer_ratings,star
0,이지현,, 22일 업데이트 버전으로 설치했는데 신분증 인식 계속 실패해서 계좌 개설 할 수가 없습니다 정상적으로 신분증 내용 입력되는데도 다음 터치하면 이동하지 않네요 직전 단계까지 정말 편한ui라 생각하고 있었는데 이렇게 심각한 에러라니ㅠ 수십분 시도하다가 그냥 포기합니다,2021년 6월 26일,1,별표 5개 만점에 1개를 받았습니다.
1,N steve,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>N steve님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 계좌개설 진행이 안 된다 개인정보 다 받아먹고 신분증까지 촬영했는데 개설이 안 되고 또 처음부터 다시 반복....완전 무한반복이여 이거 장난하나? 왜 개인정보만 먹고 개설이 안 되나 촬영해 넘어간 사진과 개인정보 다 지워라 ....금융위 신고하고 정통부 신고하기 전에,2021년 6월 20일,17,별표 5개 만점에 1개를 받았습니다.
2,김해늘,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>김해늘님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 계좌개설하려는데 신분증인증에서 계속 튕깁니다. 진짜 10번이상 시도했어요. 그리고 왜 다시 주민등록번호입력 및 휴대폰인증부터 해야하는건가요!! 이렇게 많이 오류나는 은행앱 처음입니다. 앱 삭제 후 처음부터 다시해도 똑같습니다. 빠른 개선바랍니다.,2021년 6월 17일,19,별표 5개 만점에 1개를 받았습니다.
3,SS KIM,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 25일</span></div>SS KIM님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 앞으로도 고객님께 안전한 뱅킹 서비스와 더 많은 혜택을 드리도록 최선을 다하는 웰컴저축은행이 되겠습니다. 감사합니다.</div>", 여러은행앱 많이 쓰는데 제일 깔끔한듯 계좌개설때문에 혹평이 많은데 실사용하기에는 이만한 앱이 없음 메뉴도 잡다한거 없이 필요한것들 쉽게 접근할수있고 우대조건 확인 간편이체 등등 기본 기능들도 직관적이고 빠릿빠릿하고 좋음,2021년 6월 25일,2,별표 5개 만점에 5개를 받았습니다.
4,유다현,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>유다현님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>"," 계좌개설 시 신분증 촬영 후 진행이 안되네요. 다른분들도 안되신다고 리뷰 올리셨던데 답변에는 어느부분인지 모르겠다고만 하고 해결이 안된거 같네요. 계좌개설에서 약과동의, 휴대폰 인증 후 신분증 촬영 부분에서 신분증 촬영하고 나면 다시 처음으로 돌아갑니다. 문제해결 부탁드립니다",2021년 6월 18일,12,별표 5개 만점에 1개를 받았습니다.
5,Minsu Kim,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>Minsu Kim님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>"," 살면서 처음 리뷰단다. 웰컴저축은행 첫 계좌개설해서 적금가입하려고 했는데, 진짜 똥이다.ㅡㅡ 신분증을 왜 인식을 못하고, 인식을 못하면 다시 시도라도 되던가 처음부터 다시해야되고, 은행앱이 이따위인데 멀 믿고 돈을 맡기냐 .. 바로 삭제하고 계좌개설 안할란다. 시중은행꺼나 써야지",2021년 6월 18일,3,별표 5개 만점에 1개를 받았습니다.
6,조길순,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 17일</span></div>조길순님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 우선 이용에 불편함을 드려 죄송합니다.
기기의 뒤로가기 버튼이 아닌, 앱을 완전히 종료 후 재시도 부탁드립니다. 그럼에도 불구하고 동일한 현상이 반복되신다면 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)으로 연락부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>", 보통예금 계좌개설하는데 신분증 촬영단계에서 계속 이어서 진행하기로 넘어가고 다음단계 진행이 안됩니다. 10회 반복했습니다. 조치부탁드립니다.,2021년 6월 16일,1,별표 5개 만점에 1개를 받았습니다.
7,카리스마,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>카리스마님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 신분증 인증이 안되면 왜 안된건지 설명을 해주고 그단계에서 다시 하게 해야지 왜 처음으로 다시 돌아가는거냐 한번 가입해볼라다가 화딱지 나서 폰 던질뻔했네 지들이 가입하지말라고 막는데 안해야지 어떡하냐,2021년 6월 20일,0,별표 5개 만점에 1개를 받았습니다.
8,손승우,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 17일</span></div>손승우님, 안녕하세요. 웰컴저축은행입니다. 리뷰에 남겨주신 내용만으로는 고객님께서 어느 단계에서 어려움을 겪으셨는지 파악하기 어려워 답변에 어려움이 있는 점 양해 바랍니다. 앱 재접속 후에도 동일한 증상이 계속된다면, 번거로우시더라도 웰컴저축은행 대표번호 1661-9400 (영업일 09:00 ~ 18:00)로 연락 부탁드립니다. 문의하신 내용에 대해 친절하고 자세한 안내 받아보실 수 있습니다. 감사합니다.</div>"," 최근에 수시로 ""시스템오류가 발생했습니다. 다시 진행해 해주시기 바랍니다."" 뜨네요 계좌조회조차도 불가능합니다... 속도도 느리고요",2021년 6월 16일,1,별표 5개 만점에 1개를 받았습니다.
9,이준범,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2021년 6월 22일</span></div>이준범님, 안녕하세요. 웰컴저축은행입니다. 웰컴디지털뱅크를 사용하면서 느끼신 소중한 의견을 남겨주셔서 감사합니다. 남겨주신 의견을 바탕으로 원인을 파악하고 조치 중이며, 빠르면 금일 중 개선사항이 반영 된 앱 버젼 업데이트가 가능할 것으로 보입니다. 사용하고 계신 기기의 OS 버젼을 최신 버젼으로 업데이트 부탁드리며, 빠른 시일 내 보다 더 편리하게 이용하실 수 있도록 모든 노력을 기울이겠습니다. 감사합니다.</div>", 신분증촬영하면 시스템오류뜨면서 계속 팅깁니다.. 새로해도 똑같고 어케 만들라는건지;;,2021년 6월 18일,1,별표 5개 만점에 2개를 받았습니다.
